     tau         EL         x1         y1         z1         x2         y2         z2
    7200   -3.70876   -0.33102   -1.36483    0.00785   -0.22587   -0.64528   -0.00614 
    7300   -2.91376   -0.76712   -0.47988   -0.16156   -0.14335   -0.54121    0.85400 
    7400   -2.64191   -0.51992   -0.01505   -0.04592    0.11682   -0.32020   -0.57453 
    7500   -3.51354   -0.44870   -0.05084    0.48247   -1.15021   -0.56017    0.54765 
    7600   -2.54187   -0.34469   -0.31943    0.31004   -0.31557    0.40564   -0.34454 
    7700   -2.61380   -0.21511   -0.02740   -0.15745    1.17045    0.37702    0.80827 
    7800   -3.04483    0.65769   -0.41473    0.88198   -0.35044   -0.23250    0.54640 
    7900   -2.79860   -0.21665    1.08836    0.55022    0.05199   -0.32549    0.35557 
    8000   -2.96644    0.32382   -0.30138   -0.58870    0.15177    0.32863   -0.51310 
    8100   -3.66905    0.95298    0.01761   -1.19443    0.07289   -0.06432   -0.14528 
    8200   -2.55796    0.33824    0.01761   -0.27869    0.24730   -0.26688    0.39206 
    8300   -3.11361    0.30536   -0.07056   -0.36688    1.15138    0.58625    0.22275 
    8400   -3.04797   -0.45053   -0.04538    0.38664   -0.31515   -1.44372   -0.12209 
    8500   -2.61937    0.62722    0.57671   -0.19024   -0.29627   -0.23842    0.64832 
    8600   -2.74960    0.65466    0.78290   -0.25137   -0.20499   -0.10541   -0.42287 
    8700   -2.73616    0.63097   -0.71002    0.39354   -0.91651   -0.08066   -0.07103 
    8800   -2.47501   -0.25826    0.00366   -0.22381    0.30184   -0.19139   -0.23740 
    8900   -2.95782    0.10227    1.88669   -0.41043   -0.43881   -0.62488   -0.35408 
    9000   -3.29986   -0.05649    0.31066    0.10415   -0.96520    0.37241    0.59834 
    9100   -3.49203   -0.37702    0.20350   -0.69535   -0.00024    0.15078   -0.22563 
    9200   -2.74171   -0.08840   -0.15437   -0.09514   -0.42242    0.09230    0.03346 
    9300   -2.99957    0.08210    0.67202    0.50273   -0.55055    0.35671    0.27699 
    9400   -2.96082   -0.08549    0.84831    0.56449   -0.58323   -0.01154    0.42412 
    9500   -2.47573    0.22067    0.05520   -0.01570   -0.31815    0.45336    0.17310 
    9600   -2.39239    0.04951   -0.33173    0.05884   -0.47915    0.22461   -0.20567 
    9700   -3.15104    0.56377   -0.75089    0.87244   -1.14996   -1.73002   -0.43309 
    9800   -2.65229    0.23913    0.65973   -0.80817   -0.54631   -0.23246    0.30658 
    9900   -3.00719   -0.44395    1.17848    0.75032   -0.29873   -0.36304    0.61932 
   10000   -3.14433    1.37115   -1.15159   -0.22844    1.35231    1.00184   -0.31302 
   10100   -2.61622   -0.37701   -0.64152   -0.26609    0.60102    0.49374   -0.30752 
   10200   -3.01066    0.54537   -0.58881   -0.90134   -0.04193   -0.37239    0.11693 
   10300   -2.55723    0.14983    0.30064    0.59943    0.13213   -0.69370   -0.34705 
   10400   -3.69260   -0.19612   -0.18275   -0.40880   -0.08064   -0.05304   -0.12343 
   10500   -3.57531    0.18076    0.44133    0.91742    0.18014    0.09410    0.59020 
   10600   -2.87066   -0.51441    0.56481    0.15238    1.02207    0.45263   -0.93185 
   10700   -3.05947   -0.62523   -0.78479    1.09335    0.20448    0.24480    0.41761 
   10800   -2.87780   -0.37837    1.04117   -0.58806   -0.86448   -0.45949    0.11243 
   10900   -3.36201   -0.04667    0.03604   -0.25104   -0.07346   -0.93470   -0.90367 
   11000   -2.80984   -0.02838   -0.27970    0.19784    0.93364    0.63088    0.47830 
   11100   -2.47439   -0.18679   -0.21723   -0.15818    0.27296   -0.27405    0.28663 
   11200   -2.48175    0.24775   -0.11175   -0.17897   -0.62397   -0.30758   -0.04291 
   11300   -3.39254    0.24420    0.22386   -0.12299   -0.46347    1.67350   -0.63715 
