     tau         EL         x1         y1         z1         x2         y2         z2
    7200   -2.66832   -0.29240   -0.48045   -0.46385   -0.12783   -0.30286    0.78457 
    7300   -3.02540    0.10766   -0.32619    1.01523    1.49730    0.33818    0.28072 
    7400   -3.71844    0.79936    0.33948   -1.91064    0.08562   -0.07359   -0.15870 
    7500   -3.05091    0.80127   -0.20684    0.89899   -0.34291   -0.56368    0.76936 
    7600   -2.35194   -0.13033    0.38262   -0.44917   -0.10295   -0.32639    0.12842 
    7700   -2.71534    0.54741    0.01211    1.63129   -0.32375   -0.02256   -0.56512 
    7800   -3.22169    0.09759   -0.12998   -0.17778   -0.22794    0.68930   -1.19922 
    7900   -2.96335    0.71254    0.79456   -0.39987    0.58751   -0.65574   -0.91169 
    8000   -2.85460   -0.16853   -0.25619    0.12342   -0.32869   -0.05625   -0.15244 
    8100   -3.10695    1.52116    0.42999    0.24544    0.06316    0.05690    0.66635 
    8200   -3.27905    0.17642   -1.09479   -0.31335    0.40297   -0.18285   -0.11417 
    8300   -2.67157    0.88238   -0.45673   -0.00714   -0.46859   -0.04023   -0.67211 
    8400   -2.79543    1.04411    0.15350    0.53071   -0.40684   -0.47789   -1.22559 
    8500   -2.88411    0.74824   -0.09532    0.17430   -0.12448   -0.22559    1.04536 
    8600   -2.58261    0.04984   -0.28026    0.32288    0.15541    0.69897    0.24092 
    8700   -2.97708   -0.48940    0.24012    0.24552   -0.20318   -0.22843    0.64653 
    8800   -3.25738    0.90898    1.47530    1.43832    1.26414   -0.38619    0.93986 
    8900   -3.08745    0.24274    0.93004    1.29829    0.67584   -0.29333    0.36062 
    9000   -3.05027    0.35359   -0.19930    0.81746   -0.28771   -0.45787    0.39235 
    9100   -2.46167    0.35292   -0.25203   -0.00746   -0.37120   -0.16249   -0.29144 
    9200   -3.19130    0.33593   -0.38953    1.12237    0.08199   -0.04058   -0.01765 
    9300   -2.68903   -0.31352    0.54200    0.32062   -0.34313   -0.05353   -0.29715 
    9400   -3.77912   -0.02474   -0.16123    0.03741    0.12423   -0.95624    0.23531 
    9500   -3.43732    0.46439    0.68320    0.97062    0.04089   -0.04385    0.52874 
    9600   -3.05044    0.63879   -0.26684    1.49191   -0.27819    0.46616    0.27373 
    9700   -3.21065    0.70197    0.49202    0.15370   -0.02461    0.24601    0.14764 
    9800   -2.88923   -0.26779   -0.82347   -0.68763   -0.38557    0.63389   -0.73367 
    9900   -2.74471    0.45359    0.11543   -0.40704   -1.36835   -0.90745    0.10407 
   10000   -2.64956   -0.38464   -0.95392    0.45797    0.39242    0.11707    0.06210 
   10100   -2.70330    0.00749    0.71658    0.15547    1.02253   -0.64165   -0.13041 
   10200   -3.34229   -0.28588   -0.02671    0.45948   -0.94265    0.24792    0.30647 
   10300   -2.40096    0.28324   -0.16902   -0.31703   -0.61997   -0.06391    0.17762 
   10400   -2.95846    0.75704    0.19651   -0.14912    0.21753   -0.34355   -0.07318 
   10500   -2.64942    0.15793    0.15249    0.24037   -1.37421   -0.37378   -0.34651 
   10600   -2.41622   -0.32505    0.31525    0.29300    0.17561    0.12442   -0.32916 
   10700   -3.02970    0.27518   -0.38389   -0.38321   -0.09415   -0.01620   -0.12638 
   10800   -2.70351   -0.01225   -0.35775    0.93451   -0.51284   -0.18273   -0.25025 
   10900   -2.69814    0.01899    0.07826   -0.54088   -0.00598    0.55054    0.04813 
   11000   -2.63736   -0.27422   -0.41644    0.29036   -0.47009    0.81564   -0.02580 
   11100   -2.93012   -0.55889   -1.47719   -1.34054   -0.10399   -0.03029    0.31039 
   11200   -3.33696    0.11907   -0.57521   -1.17050   -0.33221   -0.83610   -0.60154 
   11300   -2.57505   -0.91262    0.18587    0.33875    0.09907   -0.31151   -0.18079 
   11400   -2.49602   -0.80951    0.36631    0.28837    0.56356   -0.06859   -0.28917 
   11500   -3.05972    0.77234    1.48602    1.05116    0.28642   -0.47804    0.43046 
   11600   -2.68772    0.17320   -0.01098   -0.18866   -1.38808   -0.50577    0.07240 
   11700   -2.77177   -0.60503   -0.44144    2.07078    0.05601    0.09607   -0.39258 
   11800   -2.90973    0.15286   -0.72687    1.01540    0.67300   -0.69839   -1.23489 
   11900   -2.92833    0.64763    1.18692    0.41386   -1.08745    0.40091    0.32007 
   12000   -2.75349   -0.71567    1.08327   -0.24546    0.96022   -0.69351    0.03497 
   12100   -2.31386    0.65676   -0.13179   -0.07370   -0.30725    0.04150    0.15509 
   12200   -3.09955    0.22249    0.24426    0.00736   -0.39467    0.60046    1.30449 
   12300   -2.71921   -0.41144   -0.40543   -0.06710   -0.16602    0.96625   -0.68532 
   12400   -2.39959   -0.22575    0.72081   -0.18363    0.16645   -0.47564    0.17883 
   12500   -2.76329   -0.35200   -0.06007   -1.56295   -0.15233   -0.27609    0.83152 
   12600   -2.99472    0.05413   -0.03814    0.27881   -0.01924    0.11709    0.09933 
   12700   -3.43262    0.04126   -0.11965    0.23208   -0.55023   -0.77562    0.50501 
   12800   -2.88868    0.41743    0.89079   -0.58727   -0.00499    0.20815    0.32394 
   12900   -2.66616    0.97418    0.36011    0.64778   -0.53092    0.35851   -0.27310 
   13000   -2.70708    0.46070   -0.57795   -0.57759   -0.64011    0.45671   -0.44649 
   13100   -2.81958    0.43682   -0.27402    0.10001   -0.05786   -0.13217    0.24999 
   13200   -2.56244    0.28609    0.99325   -0.31748   -0.13184   -0.30538    0.46089 
   13300   -2.68735   -0.59810   -0.23359   -0.58945    0.09641    0.35865   -0.11970 
   13400   -2.84546   -0.68533    0.91922   -1.06569    0.85042    0.23375    0.20939 
   13500   -2.76821    0.00506    0.25612   -0.74713   -0.57327   -0.89786    1.39628 
   13600   -2.93528   -0.74662   -0.23719    0.75480   -0.20889   -0.25085   -0.22501 
   13700   -3.51846   -0.38007    0.74482    0.09296   -0.12215    0.82619    0.16006 
   13800   -2.97043    0.18057   -0.36657   -0.35671   -0.29839   -0.72725    0.09811 
   13900   -2.49664   -0.15153    1.02815    0.36968    0.04996   -0.08305   -0.13357 
   14000   -3.70353   -0.57921    0.36754   -0.31774   -0.74203    0.68588   -0.81440 
   14100   -3.32454   -0.56633    0.43227    0.41752   -0.23149    0.40056    0.94185 
   14200   -3.45653    0.53434    0.53604   -0.17958    0.12023    0.17747   -0.25709 
   14300   -2.67217    0.08440    0.27693   -0.01964    0.25293   -0.02998    0.43391 
   14400   -2.92491   -0.04975    0.93557    0.14750    0.32031    0.06633    0.33946 
   14500   -2.77702   -0.33545    0.53283   -0.18988   -0.71621   -0.37115    0.05412 
   14600   -2.61469   -0.16365   -0.10582    0.39967    0.03349   -0.62838   -0.32823 
   14700   -2.74803    0.31535   -0.80579   -0.31781   -1.21706    0.30849    0.48139 
   14800   -3.73443    0.14393    0.24051    0.19686    0.12184    1.95296    0.80315 
   14900   -2.93660   -0.49090    0.43722    0.06311   -0.36169   -0.14321    0.28594 
   15000   -2.30310   -0.22417   -0.58714    0.38879    0.05635    0.12876   -0.00816 
   15100   -2.71738    0.28222    0.81447   -0.28238   -0.70422    0.04497   -0.14936 
   15200   -2.70695   -0.29939   -0.11176   -0.28238    1.20256   -0.72997    0.40022 
   15300   -2.65197   -1.06499    0.08363   -0.21537    0.16858   -0.41859    0.22115 
   15400   -3.24288    0.63063   -1.49397    2.66023    0.93719   -0.29855   -0.44229 
   15500   -2.74657    0.01348   -0.56877   -0.31245    0.00258   -0.35427    0.53622 
   15600   -2.31990    0.72155    0.20484    0.38896   -0.09092   -0.07080   -0.03086 
   15700   -2.84766   -0.16221    0.10329    0.01211   -0.18311   -0.31604    0.63617 
   15800   -2.82731    0.45116   -0.03563   -0.26180    0.02310   -0.71610   -0.16701 
   15900   -2.49600    0.08696    0.15250    0.10550    0.30335   -0.34065   -0.66575 
   16000   -2.70966   -0.51997   -0.02225    0.04558    0.31264   -0.10146    0.92403 
   16100   -3.40121   -0.57130    0.16219    0.26562   -0.78600   -0.29212    0.40370 
   16200   -3.15438    0.82769    0.41751   -1.19182   -0.30654   -0.20927   -0.85927 
   16300   -3.14771   -0.68600    0.11868   -1.60088   -0.20552    0.78423   -0.14897 
   16400   -2.95981    0.13103    0.09703    0.07210    0.09912    0.47489   -1.34829 
   16500   -3.46732    0.35829   -0.17528   -0.33929    0.26425   -0.08265   -0.56403 
   16600   -3.08436   -0.68538   -1.19300    0.09414   -0.18237    0.01672   -0.28664 
