     tau         EL         x1         y1         z1         x2         y2         z2
    7200   -2.66755    0.18276   -0.04578    0.61808   -0.33550    0.30110   -0.88471 
    7300   -3.59683   -0.59033   -0.65215   -0.18710   -1.31639   -1.36142   -0.12306 
    7400   -2.70751    0.17222    0.20028    0.89183   -0.45533    0.31253   -0.49368 
    7500   -3.12479   -1.04985   -0.34754    0.18899   -0.15665    0.17213    0.16055 
    7600   -2.67199   -0.58999   -0.23478   -0.10133   -0.09437    0.34254   -0.49297 
    7700   -3.32849    0.62030   -0.39333   -1.51227    0.58776   -0.28478   -0.22066 
    7800   -2.98581    0.66040    0.72088    0.36121    0.30313   -0.09439    0.57976 
    7900   -2.81559   -0.58084    0.06409   -0.92533   -0.16029   -0.57457    0.59590 
    8000   -2.38000   -0.25934   -0.40279    0.23504   -0.08246    0.15857    0.01268 
    8100   -2.56779    0.54184    0.04225    0.05579   -0.70280    0.35460   -0.28671 
    8200   -2.47075   -0.57272    0.22020    0.14808    0.53079    0.11582    0.06546 
    8300   -2.52792   -0.61786   -0.23059    0.05837    0.15567   -0.15967   -0.31878 
    8400   -2.74225   -0.31113   -0.51939   -0.17069    0.53825    1.02548    0.29881 
    8500   -2.63062    0.34789   -0.50078   -0.22536    0.11128    0.41397    0.69604 
    8600   -2.61739   -0.48294   -0.35255    0.29582   -0.14044    0.29256    0.08742 
    8700   -2.41524   -0.04025    0.30147   -0.26469    0.34828   -0.01505    0.48568 
    8800   -3.24591    0.11162    0.03273   -1.09081   -0.73774   -0.44101   -1.35252 
    8900   -2.81367   -0.48253   -0.23407    0.74884    0.52779    0.77679   -0.51588 
    9000   -2.49009    0.34720    0.00191   -0.17782   -0.10245   -0.01594   -0.25826 
    9100   -2.57992   -0.02606    0.35262   -0.38887    0.55737   -0.58511    0.23581 
    9200   -3.03432   -0.39600    1.09535   -1.10625    0.77760   -0.47298   -0.40883 
    9300   -3.14965    0.41263   -0.24110    0.36669   -0.33339   -1.64936   -1.19218 
    9400   -3.13894    0.60300   -0.19931    0.25238   -0.42949   -1.53751   -1.30529 
    9500   -2.95722   -0.07750   -0.14129    0.74112   -1.19528    0.06770    0.18677 
    9600   -2.71374    0.39438   -0.27536    0.82368   -0.69354    0.01039   -0.25229 
    9700   -2.11979   -0.01825   -0.20530    0.19285    0.18685    0.24969   -0.14629 
