  0.1249922E-02  0.5190952E+02  0.0000000E+00  0.3141593E+00 -0.1781605E+02  0.0000000E+00  0.5190952E+02  0.5528390E-16
  0.2499844E-02  0.5180112E+02  0.0000000E+00  0.6283185E+00  0.1074838E+02  0.2806143E+02  0.5180112E+02 -0.7760745E-15
  0.3749766E-02  0.5169288E+02  0.0000000E+00  0.9424778E+00  0.3317402E+02  0.1316621E+02  0.5169288E+02 -0.6090215E-15
  0.4999688E-02  0.5158480E+02  0.0000000E+00  0.1256637E+01  0.3382689E+02 -0.2971176E+01  0.5158480E+02  0.1514162E-14
  0.6249609E-02  0.5147689E+02  0.0000000E+00  0.1570796E+01  0.2813931E+02 -0.1135893E+02  0.5147689E+02  0.2245750E-14
  0.7499531E-02  0.5136914E+02  0.0000000E+00  0.1884956E+01  0.2228685E+02 -0.1479663E+02  0.5136914E+02 -0.8589984E-15
  0.8749453E-02  0.5126155E+02  0.0000000E+00  0.2199115E+01  0.1758375E+02 -0.1579730E+02  0.5126155E+02  0.3390690E-14
  0.9999375E-02  0.5115412E+02  0.0000000E+00  0.2513274E+01  0.1402236E+02 -0.1568589E+02  0.5115412E+02 -0.1948888E-14
  0.1124930E-01  0.5104685E+02  0.0000000E+00  0.2827433E+01  0.1135004E+02 -0.1509593E+02  0.5104685E+02  0.6707948E-14
  0.1249922E-01  0.5093975E+02  0.0000000E+00  0.3141593E+01  0.9328926E+01 -0.1432452E+02  0.5093975E+02 -0.1037581E-14
  0.1374914E-01  0.5083280E+02  0.0000000E+00  0.3455752E+01  0.7779166E+01 -0.1351009E+02  0.5083280E+02 -0.2938082E-14
  0.1499906E-01  0.5072602E+02  0.0000000E+00  0.3769911E+01  0.6572515E+01 -0.1271582E+02  0.5072602E+02 -0.3167653E-14
  0.1624898E-01  0.5061939E+02  0.0000000E+00  0.4084070E+01  0.5618717E+01 -0.1196870E+02  0.5061939E+02  0.2682849E-14
  0.1749891E-01  0.5051293E+02  0.0000000E+00  0.4398230E+01  0.4853992E+01 -0.1127829E+02  0.5051293E+02  0.2977627E-14
  0.1874883E-01  0.5040662E+02  0.0000000E+00  0.4712389E+01  0.4232772E+01 -0.1064577E+02  0.5040662E+02 -0.1325963E-14
  0.1999875E-01  0.5030048E+02  0.0000000E+00  0.5026548E+01  0.3722055E+01 -0.1006849E+02  0.5030048E+02 -0.1952685E-15
  0.2124867E-01  0.5019450E+02  0.0000000E+00  0.5340708E+01  0.3297592E+01 -0.9542170E+01  0.5019450E+02  0.3833512E-14
  0.2249859E-01  0.5008867E+02  0.0000000E+00  0.5654867E+01  0.2941314E+01 -0.9062052E+01  0.5008867E+02 -0.9470261E-15
  0.2374852E-01  0.4998301E+02  0.0000000E+00  0.5969026E+01  0.2639568E+01 -0.8623446E+01  0.4998301E+02  0.2123507E-14
  0.2499844E-01  0.4987750E+02  0.0000000E+00  0.6283185E+01  0.2381906E+01 -0.8221966E+01  0.4987750E+02  0.7824068E-15
  0.2624836E-01  0.4977215E+02  0.0000000E+00  0.6597345E+01  0.2160238E+01 -0.7853635E+01  0.4977215E+02 -0.1788237E-14
  0.2749828E-01  0.4966696E+02  0.0000000E+00  0.6911504E+01  0.1968226E+01 -0.7514901E+01  0.4966696E+02 -0.1539498E-14
  0.2874820E-01  0.4956193E+02  0.0000000E+00  0.7225663E+01  0.1800855E+01 -0.7202619E+01  0.4956193E+02 -0.1706253E-14
  0.2999813E-01  0.4945706E+02  0.0000000E+00  0.7539822E+01  0.1654118E+01 -0.6914019E+01  0.4945706E+02  0.3678718E-14
  0.3124805E-01  0.4935234E+02  0.0000000E+00  0.7853982E+01  0.1524782E+01 -0.6646665E+01  0.4935234E+02 -0.1809544E-14
  0.3249797E-01  0.4924778E+02  0.0000000E+00  0.8168141E+01  0.1410221E+01 -0.6398416E+01  0.4924778E+02 -0.1661918E-14
  0.3374789E-01  0.4914338E+02  0.0000000E+00  0.8482300E+01  0.1308280E+01 -0.6167389E+01  0.4914338E+02 -0.2133495E-14
  0.3499781E-01  0.4903914E+02  0.0000000E+00  0.8796459E+01  0.1217184E+01 -0.5951926E+01  0.4903914E+02 -0.1596482E-14
  0.3624773E-01  0.4893505E+02  0.0000000E+00  0.9110619E+01  0.1135456E+01 -0.5750564E+01  0.4893505E+02  0.2062900E-14
  0.3749766E-01  0.4883112E+02  0.0000000E+00  0.9424778E+01  0.1061859E+01 -0.5562008E+01  0.4883112E+02 -0.1324339E-15
  0.3874758E-01  0.4872735E+02  0.0000000E+00  0.9738937E+01  0.9953558E+00 -0.5385112E+01  0.4872735E+02  0.3300883E-14
  0.3999750E-01  0.4862373E+02  0.0000000E+00  0.1005310E+02  0.9350668E+00 -0.5218857E+01  0.4862373E+02  0.3837882E-14
  0.4124742E-01  0.4852027E+02  0.0000000E+00  0.1036726E+02  0.8802445E+00 -0.5062336E+01  0.4852027E+02 -0.4009541E-14
  0.4249734E-01  0.4841697E+02  0.0000000E+00  0.1068142E+02  0.8302501E+00 -0.4914738E+01  0.4841697E+02  0.3125106E-14
  0.4374727E-01  0.4831382E+02  0.0000000E+00  0.1099557E+02  0.7845349E+00 -0.4775339E+01  0.4831382E+02 -0.2301276E-14
  0.4499719E-01  0.4821082E+02  0.0000000E+00  0.1130973E+02  0.7426259E+00 -0.4643487E+01  0.4821082E+02 -0.1754285E-14
  0.4624711E-01  0.4810799E+02  0.0000000E+00  0.1162389E+02  0.7041133E+00 -0.4518598E+01  0.4810799E+02 -0.4217090E-14
