     tau         EL         x1         y1         z1         x2         y2         z2
    7200   -4.00130    0.49501    0.44871    0.64541   -0.08515    0.14396   -0.37611 
    7300   -4.00583   -0.37302   -0.80188    0.59289   -1.18094   -0.12117    0.03088 
    7400   -4.00475    0.51753   -0.59711   -1.61297   -0.09753    0.01152    0.60344 
    7500   -3.98560   -0.13816   -0.03263    0.12469    0.11933    0.18022    0.10063 
    7600   -3.99796    1.01617    0.33538   -0.00779    0.15418   -0.10344   -0.18219 
    7700   -4.00245   -0.37869    0.93778    0.24110   -0.08401   -0.41621   -0.21241 
    7800   -3.99981   -0.24770    0.07773    0.24676   -0.63073   -0.36451    0.27753 
    7900   -3.97866   -0.01892    0.02937   -0.08320   -0.63675   -0.59204    0.39143 
    8000   -3.99316    0.33352    0.06729   -0.53344   -0.08905    0.12383    0.12760 
    8100   -4.00478   -0.35073    0.56052    0.46388   -0.50836    0.85882   -0.35261 
    8200   -3.99944   -0.33973   -0.45339    0.45979    0.24636   -0.11999   -0.21978 
    8300   -4.00640   -1.13085    0.52490   -0.40330    0.83387    0.88663    0.26029 
    8400   -4.00388   -0.50636    0.22871   -0.09291    0.30216    1.00364    0.82160 
    8500   -3.99666    0.11576   -0.25356    0.09067   -0.39396   -0.12860   -0.34034 
    8600   -3.99936    0.06210    0.40258   -0.23094    0.45477   -0.13036    0.02010 
    8700   -4.00053    0.32689    0.25660   -0.34312   -0.44409    0.13352    0.22127 
    8800   -3.99805   -0.41266   -0.00408   -0.11924    0.01054    0.39990   -0.10615 
    8900   -3.99941    0.07460    0.42085   -0.22397   -0.43440   -0.00609    0.16287 
    9000   -3.99112   -0.12520   -0.14477    0.01901   -0.16667   -0.37755    0.19860 
    9100   -4.00198   -0.59438   -0.47716    0.41581    0.42721    0.19335    0.08886 
    9200   -4.00286    0.46119   -0.03998    0.39467    0.56656    0.48238    0.25688 
    9300   -4.00140    0.06932    0.22269   -0.26471    1.23862    0.95829    0.13316 
    9400   -4.00666    1.26657    0.06543   -0.86800    0.73333    0.69530   -0.69490 
    9500   -4.00170   -0.05112    0.04690    0.58918   -0.30618   -0.50260   -0.10991 
    9600   -4.00018    0.02814   -0.49085   -0.14546    0.48862    0.12077    0.02836 
    9700   -4.00057   -0.09285    0.07467    0.32383   -0.57017   -0.85880    0.44999 
    9800   -4.00056    0.11228   -0.03312    0.49347   -0.00029    0.33482    0.43671 
    9900   -3.98435   -1.05702   -0.32714   -0.49391    0.00453    0.00665   -0.10916 
   10000   -3.99979   -0.32558    0.21457    0.01786   -0.29488    0.18244    0.55855 
   10100   -3.99898   -0.35699   -0.40628   -0.04640   -0.35556   -0.16647   -0.00277 
   10200   -4.00374    0.23235   -0.46093   -0.00316    0.09091   -0.20821   -1.54384 
   10300   -4.00319    0.69111    0.02301   -0.51159   -0.09961   -0.37685    0.47517 
   10400   -4.00047   -0.23308   -0.09969    0.21618    0.16488   -1.14561   -0.38267 
   10500   -3.99958    0.22209    0.06953    0.59472    0.17442    0.32148    0.12003 
   10600   -3.98874    1.11416   -0.30477   -0.08143   -0.05867   -0.01709    0.11994 
   10700   -4.00545    0.18641    0.05666    0.72739   -1.53054    0.29599   -0.59315 
   10800   -4.00279    0.57936   -0.20273   -0.10923    0.58684   -0.39522   -0.24224 
   10900   -4.00171    0.20791   -0.11085    0.33986    0.82349   -0.47306   -0.50066 
   11000   -3.99876    0.36343    0.23590   -0.12774    0.00031    0.27863   -0.34325 
   11100   -4.00094    0.35828   -0.20174    0.21803    0.03182   -0.64623   -0.16849 
   11200   -3.99329    0.11863    0.29180   -0.06735   -0.00118    0.06714   -0.28169 
   11300   -4.00371    0.21076   -0.48198   -0.48916    0.24418    0.14633    0.78556 
   11400   -3.99577   -0.71000    0.94369   -0.13956   -0.11263   -0.16104   -0.07268 
   11500   -4.00248   -0.25748   -0.27496   -0.46986    0.02056   -0.64321    0.31207 
   11600   -3.99809    0.43171    0.26176   -0.07983   -0.05105   -0.35670   -0.01801 
   11700   -4.00347    0.51283   -0.30467    0.44638    0.25428   -0.02408    0.70116 
   11800   -4.00456    0.77462   -0.24094   -0.49937   -0.56057   -0.53557   -0.27339 
   11900   -4.00100   -0.40127    0.17804    0.11405   -0.30607   -0.03997   -0.63501 
   12000   -3.99821    0.19621    0.75620    0.13342    0.16032   -0.24071   -0.04260 
   12100   -4.00062   -0.27934   -0.18169   -0.07375   -1.18092   -0.19425   -0.02434 
   12200   -4.00093    0.16177    0.04456    0.37243    0.74400    0.08971    0.36538 
   12300   -4.00057   -0.10747    0.03089    0.30478   -0.82144   -0.56767    1.00516 
   12400   -3.99525   -0.04754   -0.31435   -0.28941   -0.06272    0.27803    0.03385 
   12500   -3.99723   -0.29955   -0.16631   -0.34228   -0.12460   -0.04510    0.30695 
   12600   -4.00413   -0.18973   -0.49408    0.17125   -0.94402    1.22655   -0.30445 
   12700   -3.99983   -0.00905   -0.67383   -0.48208   -0.17062    0.00555    0.30510 
   12800   -3.99216    0.11642    0.13252   -0.00682    0.13618    0.45947   -0.58503 
   12900   -3.99778    0.06420    0.09132   -0.20174   -0.64006    1.82995   -0.24614 
   13000   -4.00505    0.55701    0.37766   -0.27224   -0.08320    1.40403   -0.20322 
   13100   -4.00293   -0.94228    0.00749    0.10431    0.46168   -0.12414    0.26318 
   13200   -4.00371   -0.34929    0.39575   -0.05757    0.88040   -1.07650    0.28159 
   13300   -3.96670    1.19900    0.16271    0.46186   -0.04734    0.03643    0.01952 
   13400   -3.99953   -0.36051    0.57912    0.22755    0.22000   -0.27733    0.05562 
   13500   -3.99133    0.05667    0.17485    0.09185    0.12630   -0.21987   -0.32216 
   13600   -3.99959    0.29388   -0.22368    0.08148   -0.60515   -0.25394   -0.07540 
   13700   -3.99902    0.10220   -0.30058    0.09036    0.52979    0.21297    0.47533 
   13800   -3.98621   -0.13989    0.79620    0.31925   -0.06210   -0.09749    0.04322 
   13900   -3.99442    0.04976   -0.41788    0.34149    0.21500    0.06033    0.06820 
   14000   -4.00625    1.48852   -0.54188    0.20815    0.48664    0.33063    0.81463 
   14100   -4.00412   -1.03652   -0.08919    0.49667   -0.35221   -0.24859    0.47036 
   14200   -3.99818   -0.15773   -0.04865    0.19526    0.34125   -0.36264    1.17332 
   14300   -4.00637   -0.27677    1.01909    0.73998   -0.32652    1.01557    0.65260 
   14400   -4.00239    0.01829    0.25432    0.40318    0.67036    0.58488   -0.46667 
   14500   -4.00267   -0.10908   -0.51252   -0.26529    0.52902   -0.46787    0.32936 
   14600   -4.00292    0.26577   -0.52533   -0.17705    0.41690   -0.67066   -0.04612 
   14700   -4.00429   -0.27055    0.90337    0.22949    0.29354   -0.21334   -0.65233 
   14800   -4.00397    0.50893    0.07913   -1.11706    0.18591   -0.32128   -0.46676 
   14900   -3.99928   -0.32848    0.00649    0.72335    0.17507   -0.18249    0.21388 
   15000   -4.00360   -0.00895    0.29455   -0.38660    0.59665    1.59250   -0.37799 
   15100   -4.00598   -0.32047    1.43531   -0.36533   -0.40557   -0.70772    0.46184 
   15200   -4.00296    0.67006    0.29674    0.50078    0.21312    0.52508   -0.07412 
   15300   -4.00593   -0.06824   -0.24242    1.84915   -0.13625   -0.09162    0.81107 
   15400   -4.00479   -0.24063   -0.86748    0.42514   -0.42775   -0.60578   -0.41968 
