     tau         EL         x1         y1         z1         x2         y2         z2
    7200   -2.99650   -0.30204   -0.36487    0.13518    0.13592   -0.13610    0.02253 
    7300   -2.65908    0.24656    0.21632    1.17343    0.05265   -0.44007    0.42491 
    7400   -2.58938    0.48011    0.35838   -0.79882    0.09014   -0.48506   -0.53465 
    7500   -2.72442    0.88014   -0.47864    0.85924    0.01038   -0.92660   -0.04894 
    7600   -0.98665   -0.14047    0.24555   -0.37493   -0.28183    0.49927   -0.21693 
    7700   -2.64248    0.35485    0.42884    1.14601    1.46616    1.43349    1.52612 
    7800   -3.42860   -0.02228   -0.27417    0.18004   -0.67105   -1.42444   -1.20434 
    7900   -2.83126   -0.41882   -0.71429   -0.80984   -0.14184   -1.02052    0.87055 
    8000   -2.99637    0.80911    0.17559    1.11790   -0.57235   -0.70531   -0.75034 
    8100   -2.99954    0.71123   -1.29450   -0.70365   -0.34138    1.27429    0.41508 
    8200   -2.18484    0.26122    0.15617   -1.32763    0.56144    0.22145   -0.62424 
    8300   -1.65965    0.24706    0.35147   -0.32925    0.64130    0.46144   -0.11607 
    8400   -3.00402   -0.60596   -0.58539    0.67927    0.72018    0.06864   -0.62315 
    8500   -2.36220   -0.62586   -0.65397    0.08799   -0.27045   -0.66660   -0.67405 
    8600   -2.63898    0.41586   -0.08785    0.75861   -0.31612   -0.22955    0.34951 
    8700   -3.24909    0.42578    0.07127    0.09943   -1.16233   -0.29543   -0.81841 
    8800   -2.66334    0.22372    0.41130    0.30463   -0.21097    0.68806   -0.41034 
    8900   -3.15045   -0.27117    1.09656   -0.66118    0.20938   -0.29845    0.38079 
    9000   -2.96192    0.15878    0.41998   -0.72572    0.99202   -0.22725    0.77845 
    9100   -3.09786   -1.35234    0.86411   -0.92538    0.53992   -0.47575    0.19670 
    9200   -2.98821   -0.62883    0.47701   -0.49121    1.50491    0.92587    0.34288 
    9300   -2.75424    0.23694    0.79416    0.60459   -0.17519    0.75850   -0.65717 
    9400   -2.84177    0.53714    1.01451   -0.42885   -1.17311    0.60890   -0.08002 
    9500   -3.13124    0.98165   -0.57168   -0.14741   -0.20820    0.45091    0.05807 
    9600   -3.28799   -0.27088    0.01198    0.35153    1.59508    0.00050   -0.76495 
    9700   -2.99106    0.99333    0.31895    0.43542    0.27695   -0.23643   -0.03072 
    9800   -3.07856    0.56710    0.26131   -0.52451   -0.74738   -0.96854    1.49883 
    9900   -3.03167    1.62796    0.10037   -0.77602   -0.30049    0.67931    0.20175 
   10000   -2.53884    0.46500   -0.03455   -0.93052   -0.52763   -0.36390   -0.84794 
   10100   -2.23669    0.54324   -0.68243   -0.39202    0.46440   -0.03296   -0.76448 
   10200   -2.64260   -0.23518   -0.12579    0.73730    0.01299    0.87809    0.52577 
   10300   -2.80091    0.13387   -0.18192   -0.05108    0.68512   -0.26466   -0.20065 
   10400   -3.03322    0.52601    0.02509   -0.50187   -0.44514   -0.16033    0.77726 
   10500   -3.50772    0.06684    0.16517   -0.09373   -0.42945   -0.05031   -0.76761 
   10600   -3.20369   -0.05147    0.37007   -0.28046    0.54821   -1.30808    0.04863 
   10700   -2.83410    0.97479    0.01846    0.63096    0.30620    1.84568    0.46894 
   10800   -3.25921   -0.33064    0.00573   -0.16693    1.07951    0.06989   -0.48137 
   10900   -3.01926    0.17652   -0.37239    0.18539   -0.40290    0.11770   -0.42141 
   11000   -2.89927   -0.53566   -0.47658   -0.34105    0.96995   -1.25544   -0.20531 
   11100   -3.01415    0.89697   -0.05135   -1.01801    0.26543   -0.32587   -0.00585 
   11200   -2.25879    0.00592   -0.19459   -0.12261   -0.21597   -0.20301    0.16774 
   11300   -2.85826    0.09337    0.45286   -0.81363    0.10867    1.76351    0.42331 
   11400   -3.35178   -0.25085   -1.65748    0.32174   -0.08623   -0.28507    0.02441 
   11500   -2.94423   -1.44441   -0.45370   -0.31022    0.04178   -0.61292    0.04711 
   11600   -2.77197    0.62497   -0.69417    0.62439   -0.25085   -0.78718   -0.39411 
   11700   -2.61148    0.25145   -0.83877   -0.11899    0.95066   -0.07761    0.02549 
   11800   -3.84365    1.19957    0.29570   -1.34157   -0.04585    0.08685    0.20458 
   11900   -3.06575    0.56014   -1.25862   -1.29250   -0.21129    0.77667    0.23759 
   12000   -2.69226    0.58362    0.88056    0.28822    0.46781   -0.22469    0.82435 
   12100   -2.99493    0.19178   -0.55549    0.58341   -0.28140   -0.17049   -0.29565 
   12200   -3.17571   -0.93383    1.69309    0.45209   -0.21731    0.29808    0.15140 
   12300   -3.29357   -0.16582    0.18833    0.01286    0.58067    0.42542    0.46771 
   12400   -3.36985    1.33503    0.52180    0.35053   -0.19331    0.19407   -0.20021 
   12500   -3.00210   -0.76327    0.10669    0.67200    1.04133   -0.42694   -0.30723 
   12600   -3.24473    0.11752   -0.26985    0.20265   -0.23786   -0.91371   -1.02723 
   12700   -1.46828   -0.05589   -0.18873   -0.27825    0.25273   -0.11218   -0.22283 
   12800   -2.55051   -0.77509    0.00187    0.77424   -0.51258   -0.30446   -0.01015 
   12900   -2.37124    0.66109   -0.21749   -0.22145    0.24495   -0.12895   -0.88060 
   13000   -2.92823    0.52051    0.60445    0.03193    0.00478    0.05735    0.31972 
   13100   -2.90893   -0.84799    0.41203   -0.98003   -0.05123   -1.88041   -0.43634 
   13200   -3.00433    1.51549    0.15110    1.22170    0.17889    0.47226   -0.70008 
   13300   -3.31247    0.07437    0.09002    0.36005   -0.86484    0.08885   -1.04504 
   13400   -3.06984    0.10422   -0.27134    0.05919    0.38816   -0.10022    0.88926 
   13500   -0.98661    0.09733   -0.84879   -0.15706   -0.26642   -0.91378   -0.04456 
   13600   -2.91309   -0.16765   -0.68442   -0.06446    0.18070   -0.15259   -0.07140 
   13700   -2.34078   -0.04612    0.22571   -0.21924   -0.01589   -0.18448   -0.48958 
   13800   -3.14187   -0.00136    0.11569   -0.29230    0.00675   -0.36343    0.32419 
   13900   -1.55251    0.60289   -0.56668    0.65404    0.50076   -0.27426    0.29471 
   14000   -2.83703    0.46668    0.11465    0.54758    0.11127   -1.18239    0.32860 
   14100   -2.64551    0.47454    0.01639    0.21467    0.20485    0.41952    0.97394 
   14200   -2.10995   -0.38144    0.28586    1.07010   -0.10811    0.36806    0.48683 
   14300   -2.62764   -0.25952    0.01385    0.21441   -0.12101   -0.57708    0.44505 
   14400   -2.89166   -0.02981    0.18901   -0.43057    0.38503   -0.76412   -0.37652 
   14500   -3.13699    1.00490    0.53402    0.77008   -0.19218   -0.30507    0.26994 
   14600   -3.07060    1.38203   -2.43841    0.80686    0.29763   -0.48062   -0.38528 
   14700   -3.29129    0.17340    0.26384    0.07840   -0.63391   -0.42192    0.79595 
   14800   -2.95830    0.43670   -0.14602    0.10405   -0.51962   -0.28920    0.55161 
   14900   -7.30560    0.04978   -0.02920   -0.00116    1.36131    0.16480   -0.65392 
   15000   -2.99208    0.36580    0.45149    0.01946   -0.26744   -0.17271   -0.35166 
   15100   -2.94990    0.18109    0.75326   -0.17666    0.35727   -0.19870    0.25022 
   15200   -2.74982    0.31757   -0.44310   -0.13517   -0.11266    0.09800   -0.77331 
   15300   -2.86061    0.16919    1.44873   -0.08746   -0.39204    0.09159    1.17081 
   15400   -3.18806    0.61344   -0.12230    0.16490   -2.43349    0.83484    0.11983 
   15500   -3.32134   -0.04455    0.03389   -0.38068   -0.33203    0.72773    1.26981 
   15600   -3.05635   -0.20174    0.53424    0.01257    0.09917   -0.47610    0.15768 
   15700   -2.77563   -0.50859   -0.74643   -1.60326    0.33002   -0.93701   -0.21378 
   15800   -3.07770    0.31935    0.45212   -0.37195   -0.10125   -1.15406    0.66073 
   15900   -2.59458    1.32339    0.38782    0.92543    0.56743    0.44310    0.13884 
   16000   -3.00164    0.55816   -0.31333    0.96573   -0.05397    0.75736   -1.36580 
   16100   -2.87583    0.22646   -0.55465    0.48877   -1.32454   -0.30316    0.83749 
   16200   -1.68671   -0.76421   -0.16072    1.02823   -0.65144   -0.38486    0.53009 
   16300   -2.43098   -0.20897   -0.46041    0.15354   -0.00936   -0.38759   -0.47078 
   16400   -2.07092    0.65875    0.20892    0.88228    0.06228    0.58151    1.08626 
   16500   -3.44555    0.17372   -0.06650   -0.22578   -0.44927   -0.47034    0.97532 
   16600   -3.00434   -0.11226    0.30072   -0.06428    0.61820   -0.01273   -0.21254 
   16700   -5.38244    0.04256   -0.06474   -0.05533   -1.09850   -0.87177   -0.27600 
   16800   -2.92516    0.40878    0.24491    0.03350   -0.55683    0.73766    0.09597 
   16900   -3.05484    0.23181    0.93622   -0.83080   -0.29503   -0.22368   -0.28669 
   17000   -2.26648   -0.65202    0.63622   -0.65226   -0.05552    0.82479   -0.17819 
   17100   -3.06451    0.21607    0.12787   -0.21930   -0.10862   -0.28946    0.16151 
   17200   -2.93211    1.08612   -0.13099   -1.09054    0.31800    1.02302    0.96388 
   17300   -2.96165   -0.24916   -0.28809   -0.25128    0.27769    0.55107   -0.35381 
   17400   -2.95462   -0.54994   -0.39134    1.76740    0.36520    1.00147    0.03392 
   17500   -3.26821   -0.56360   -0.60600   -0.53104    0.16291   -0.00832    0.29874 
   17600   -2.94013   -0.41451   -0.42331    0.33002    0.57249    0.01291    0.12088 
   17700   -3.00367   -0.56700   -0.53217    0.58198    0.22882   -0.42276   -1.84251 
   17800   -2.67553   -1.04537    0.87881    0.07347   -0.37516    0.23826   -0.36601 
   17900   -1.31963   -1.69267   -0.44664    0.62065   -1.28802   -0.17202    0.50720 
   18000   -2.73309   -0.19013    0.21530    0.68208   -1.20783   -0.52683    0.94036 
   18100   -2.83517   -0.21308   -0.32647    0.29494   -0.21622   -0.17976   -0.57526 
   18200   -2.95123    0.06050    1.13256   -0.24796   -0.91594   -0.60390   -0.17646 
   18300   -2.73937   -0.21278    0.50044   -0.47932   -0.83476    0.05633    0.28985 
   18400   -2.38706    0.40840   -0.13102    1.00962    0.94809    0.37702    0.45282 
   18500   -2.59463   -1.10878    0.21035    0.72598   -0.02867    0.39661    0.72457 
   18600   -1.67249   -0.52087   -0.63701   -0.22779   -0.48441   -0.17555   -0.15550 
   18700   -1.16815   -0.91491    0.08516    0.18162   -1.00106   -0.29253    0.36028 
   18800   -2.94273    0.35737    0.42694   -0.70920    0.81418   -0.52731    0.74314 
   18900   -3.67052    0.58801    0.95213    0.03935    0.05577    0.10905    0.14735 
   19000   -2.68552   -0.09372   -0.16487    0.05691   -0.17077   -0.24915   -0.36814 
   19100   -3.03070   -0.82764    0.95150   -0.46147    0.41470    0.13257    0.48395 
   19200   -3.93530    0.13064   -0.03996    0.16578   -1.29126   -1.63924    0.72823 
   19300   -2.80152   -0.23525    0.07352   -0.26038    0.42762    0.19559   -0.21171 
   19400   -2.98130   -1.15245    0.68604    0.61962    0.68818    0.02274   -1.10069 
   19500   -2.86382   -0.79067   -0.25269    1.08749   -0.16495    0.57879    0.21825 
   19600   -2.84640   -1.30171    0.31726    0.44862   -0.51044   -1.00036   -0.67297 
   19700   -2.51924    0.22799    0.87630    1.20356    0.50014   -0.06009    0.76001 
   19800   -1.96082    0.21790    0.79870   -0.15728    0.43432    0.51555   -0.65752 
   19900   -2.85963    0.63978   -0.93979   -0.40101    0.66276    0.36015    0.29958 
   20000   -1.92055   -0.11011   -1.17324   -0.28210   -0.03735   -0.59294   -0.24281 
   20100   -2.97267   -0.17142    0.52910   -0.97363   -0.88606   -1.57688    0.30770 
   20200   -1.85669   -0.61197    0.56819    0.44047   -0.16961    0.48083    0.82464 
   20300   -2.45995    0.41374   -0.88122   -0.68221    1.39713   -0.79174   -0.19619 
   20400   -2.94270    0.19726   -0.68872   -0.27631    2.09391   -0.86864    0.27355 
   20500   -0.45996   -0.80015    0.44360   -0.03117   -0.93142    0.19325   -0.18784 
   20600   -3.01815    0.25244   -1.84028    0.68626   -0.61047   -0.09428    0.25656 
   20700   -3.14522   -2.14436    1.24478   -1.18388    0.48445   -0.06452    0.56110 
   20800   -2.55048    0.30977   -0.21815    0.70278    0.19711   -0.44271   -0.00200 
   20900   -2.84386    0.38765    0.40371   -0.24470   -0.38686   -0.00918   -0.31206 
   21000   -3.00088   -0.19132    0.37833   -0.30435   -0.23482   -0.49219    0.29374 
   21100   -3.16966    0.40538   -0.35025   -0.21647   -1.92559   -1.33930   -0.64074 
   21200   -2.89201    0.67484    1.06651    1.31553   -0.50617    0.95279   -0.54423 
   21300   -2.85639   -0.37899   -0.46538    0.07911   -0.00871    0.24361    0.40291 
   21400   -2.89950    1.63129    0.35745   -0.03611    0.14899   -0.88172   -0.47182 
   21500   -2.99904    0.52105   -0.29074    0.60506   -1.55386    0.04639    0.22988 
   21600   -4.93627    0.10069   -0.00967    0.01631   -0.41056    0.53397    0.59118 
   21700   -2.25250    0.24017   -0.04941   -0.33284    0.17337   -0.59838   -0.26759 
   21800   -2.88756   -0.10484    0.26312   -0.57093    0.73365   -0.06165    0.10966 
   21900   -2.87247   -0.05940   -0.79148    1.29505   -0.07715   -0.79136   -0.42051 
   22000   -3.32551   -0.01329    0.17327    0.21372    1.10647    0.19099    0.23051 
   22100   -2.99133    0.19461    0.67867    0.25675   -0.35446   -0.80835    0.41461 
   22200   -3.42977    0.00395   -0.26889   -1.32425   -0.02143   -0.23590   -0.10325 
   22300   -2.67779    0.15608    0.08024   -0.37464   -0.01914    0.85981   -0.43209 
   22400   -3.53932    0.10573   -0.26486   -0.02599    0.02151   -0.25107   -1.85576 
   22500   -2.91131    0.30471    0.53324   -0.07619   -0.46502    0.00115    0.48615 
   22600   -1.81887    0.30145    0.07463   -0.01281    0.20452    0.23298    0.31151 
   22700   -2.90187   -0.19378   -0.79289   -0.59996   -0.49736   -0.04082    0.54486 
   22800   -2.97246   -0.14680    0.28079    0.17975    0.26968    1.21160    0.30157 
   22900   -3.15854   -0.40499    0.14687    0.20115    1.13159   -0.19162    0.05502 
   23000   -3.00913    0.42375   -0.29665   -0.72929    0.73519    0.30297    1.50640 
   23100   -3.17071   -0.18431    0.05796   -0.45030   -1.47243    0.25470    0.98246 
   23200   -3.46652   -0.12672   -0.91849   -0.63376   -0.20596    0.10813   -0.09196 
   23300   -2.94100    0.01451    0.86103    0.56496    0.04771   -0.14125    0.37689 
   23400   -2.31172   -0.51335   -0.12665   -0.31316   -0.35452    0.50678   -0.24593 
   23500   -3.08419    0.43643   -0.44697    0.48112   -0.65542    1.66452   -0.71077 
   23600   -2.95037    1.44330    0.20737    0.92978    0.22163    0.04517    0.42599 
   23700   -2.59708    0.28572    0.65500    0.91682    0.25420    0.24606    0.23719 
   23800   -2.70750    0.00612   -0.59651    0.25996   -0.95937   -0.34777   -0.05691 
   23900   -2.93776   -1.69829   -0.62871    1.22064    0.34600   -0.49393    0.63718 
   24000   -1.79080    0.04688    0.35962    0.29240   -0.14372    0.04254    0.52884 
   24100   -3.02578   -0.50576    0.47330    0.50916    1.37861    0.16372   -0.75242 
   24200   -2.93499   -0.39049   -0.61385    0.22699    0.30400    0.58913    1.09341 
   24300   -2.91936   -0.09881    0.18495    0.03631    0.23375    0.64472    0.07287 
   24400   -3.37210    0.07804   -1.27851   -0.46418    0.12185    0.17328   -0.23332 
   24500   -2.71110   -0.34464    0.62233   -0.89102    0.94678    0.21278   -0.68617 
   24600   -2.89605   -0.62935   -0.37547    0.12055   -0.15214    0.63319   -0.54254 
   24700   -2.75716   -0.07687   -0.60557   -0.41907    0.57413    0.03935   -0.15682 
   24800   -2.89025    0.22143    0.48183    0.14573   -0.87042    0.19261    0.38533 
   24900   -3.53113   -0.48751    0.19096    0.74959   -0.14361   -0.13604   -0.07818 
   25000   -5.26248   -0.19665   -0.67320   -1.26804    0.00331    0.04560    0.09050 
   25100   -3.07008    0.32146   -0.00516   -0.07555    0.33193    0.38874    0.81525 
   25200   -2.50172    0.06350    0.58942   -0.20203    0.69484    0.24631   -0.63473 
