     tau         EL         x1         y1         z1         x2         y2         z2
     730   -2.99305    0.86686   -1.01692    0.11421   -0.22630   -0.27417   -0.25422 
     740   -2.97773   -1.06994   -1.01692   -0.65943    0.68467    0.99068   -0.25422 
     750   -2.84962   -0.39813   -1.01692   -0.65943   -0.00098    0.99068   -0.25422 
     760   -3.02273   -0.39813   -0.72961   -0.65943   -1.38862    0.95666    0.46996 
     770   -2.81109   -0.49186   -0.36934   -0.65943   -0.60972   -0.17122    0.46996 
     780   -2.75607    0.46019   -0.36934   -0.65943   -0.22788   -0.07155    1.12027 
     790   -2.64078   -0.06177   -0.02217   -0.65943   -0.61906   -0.07155    0.16110 
     800   -2.82936   -0.06177   -0.02217   -0.65943    0.80540   -0.94781    0.58985 
     810   -2.91159   -0.24186   -0.02217   -0.64755    0.80540   -0.94020   -0.29303 
     820   -2.63377   -0.24186   -0.02217   -0.17181    0.66882    0.01383   -0.51179 
     830   -3.63208   -0.24186   -0.02217   -0.17181   -0.50785    0.01383   -0.51179 
     840   -3.33613   -0.24186    0.10586   -0.17181   -0.27177    0.01383   -0.47381 
     850   -2.62427   -0.24186    0.10586   -0.17181    0.71293    0.01383   -0.47381 
     860   -2.62491   -0.24186    0.46995   -0.17181    0.71293    0.01383    0.57620 
     870   -2.82085   -0.28251    0.46995   -0.49543   -0.60218    0.01383    0.07987 
     880   -2.52264   -0.28251    0.46995   -0.49543   -0.13658    0.01213    0.32852 
     890   -2.74915   -0.28251    0.68161   -0.75807   -0.38742    0.01213    0.32852 
     900   -2.58734   -0.00825    0.68161   -0.58158   -0.38742   -0.37799    0.32852 
     910   -2.56465   -0.47821    0.30732    0.34160    0.27312   -0.37799    0.32852 
     920   -2.69083   -0.47821    0.30732   -0.57937   -0.34940   -0.37799    0.16977 
     930   -3.30155   -0.07972    0.30732    0.19409   -0.34940    0.21588    0.77424 
     940   -3.23158   -0.07972    0.30732    0.19409   -0.76094    0.85332   -0.41444 
     950   -3.27223   -0.07972    0.30732    0.35666   -0.49807    0.13328    0.67349 
     960   -3.21266   -2.14539    0.30732   -1.85758    0.65748    0.64841    0.67349 
